Data,Negozio,Prodotto,Quantità,Prezzo_unitario
2023-09-01,Milano,TV,5,633.05
2023-09-01,Milano,Laptop,4,900.47
2023-09-01,Bologna,Laptop,12,913.48
2023-09-01,Napoli,Tablet,3,350.26
2023-09-02,Milano,Laptop,11,869.39
2023-09-02,Roma,Lavatrice,5,471.82
2023-09-02,Napoli,Cuffie,5,86.09
2023-09-04,Milano,Cuffie,12,88.54
2023-09-04,Napoli,Lavatrice,11,450.33
2023-09-05,Torino,Tablet,3,341.77
2023-09-05,Roma,Frigorifero,9,602.33
2023-09-07,Torino,Smartphone,3,493.94
2023-09-07,Roma,TV,3,652.55
2023-09-08,Milano,Cuffie,9,86.37
2023-09-08,Bologna,Smartphone,2,511.59
2023-09-08,Roma,Frigorifero,2,610.59
2023-09-08,Roma,Tablet,8,335.67
2023-09-08,Roma,Smartphone,6,476.04
2023-09-08,Napoli,Lavatrice,1,437.8
2023-09-11,Milano,Smartphone,7,479.83
2023-09-11,Milano,TV,7,627.77
2023-09-11,Napoli,Laptop,4,941.14
2023-09-13,Napoli,Lavatrice,8,440.33
2023-09-13,Milano,Tablet,5,361.52
2023-09-14,Napoli,Cuffie,7,89.69
2023-09-15,Torino,TV,11,662.22
2023-09-15,Napoli,Laptop,6,886.96
2023-09-15,Roma,Cuffie,3,88.0
2023-09-16,Torino,Laptop,2,863.71
2023-09-16,Torino,Frigorifero,8,578.56
2023-09-18,Roma,Tablet,4,332.74
2023-09-18,Torino,Laptop,8,908.02
2023-09-20,Torino,Tablet,5,366.48
2023-09-20,Napoli,Tablet,4,357.15
2023-09-20,Roma,Tablet,12,341.06
2023-09-21,Bologna,Lavatrice,1,471.09
2023-09-21,Milano,Smartphone,12,488.74
2023-09-22,Torino,Tablet,2,345.96
2023-09-22,Napoli,Cuffie,9,89.55
2023-09-22,Torino,Laptop,9,866.9
2023-09-22,Napoli,Frigorifero,11,608.87
2023-09-23,Milano,Laptop,2,936.48
2023-09-24,Bologna,Cuffie,10,89.08
2023-09-24,Torino,Tablet,2,366.55
2023-09-24,Milano,Frigorifero,11,629.04
2023-09-25,Roma,Frigorifero,5,593.93
2023-09-25,Bologna,Smartphone,10,491.2
2023-09-26,Milano,Lavatrice,3,458.91
2023-09-27,Milano,Lavatrice,9,461.95
2023-09-28,Milano,Laptop,4,872.11
2023-09-28,Milano,Frigorifero,12,576.86
2023-09-28,Napoli,Tablet,5,360.74
2023-09-28,Bologna,Cuffie,4,93.85
2023-09-28,Roma,Lavatrice,2,444.6
2023-09-28,Napoli,Smartphone,9,486.89
2023-09-29,Bologna,Smartphone,10,496.09
2023-09-29,Bologna,Lavatrice,5,462.08
2023-09-30,Roma,Laptop,7,898.7
2023-09-30,Bologna,Frigorifero,6,582.75
2023-09-30,Bologna,Tablet,8,341.0
