Data,Negozio,Prodotto,Quantità,Prezzo_unitario,Incasso,Categoria
2023-09-01,Milano,TV,5,633.05,3165.25,Elettrodomestici
2023-09-01,Milano,Laptop,4,900.47,3601.88,Informatica
2023-09-01,Bologna,Laptop,12,913.48,10961.76,Informatica
2023-09-01,Napoli,Tablet,3,350.26,1050.78,Informatica
2023-09-02,Milano,Laptop,11,869.39,9563.289999999999,Informatica
2023-09-02,Roma,Lavatrice,5,471.82,2359.1,Elettrodomestici
2023-09-02,Napoli,Cuffie,5,86.09,430.45000000000005,Accessori
2023-09-04,Milano,Cuffie,12,88.54,1062.48,Accessori
2023-09-04,Napoli,Lavatrice,11,450.33,4953.63,Elettrodomestici
2023-09-05,Torino,Tablet,3,341.77,1025.31,Informatica
2023-09-05,Roma,Frigorifero,9,602.33,5420.97,Elettrodomestici
2023-09-07,Torino,Smartphone,3,493.94,1481.82,Informatica
2023-09-07,Roma,TV,3,652.55,1957.6499999999999,Elettrodomestici
2023-09-08,Milano,Cuffie,9,86.37,777.33,Accessori
2023-09-08,Bologna,Smartphone,2,511.59,1023.18,Informatica
2023-09-08,Roma,Frigorifero,2,610.59,1221.18,Elettrodomestici
2023-09-08,Roma,Tablet,8,335.67,2685.36,Informatica
2023-09-08,Roma,Smartphone,6,476.04,2856.2400000000002,Informatica
2023-09-08,Napoli,Lavatrice,1,437.8,437.8,Elettrodomestici
2023-09-11,Milano,Smartphone,7,479.83,3358.81,Informatica
2023-09-11,Milano,TV,7,627.77,4394.389999999999,Elettrodomestici
2023-09-11,Napoli,Laptop,4,941.14,3764.56,Informatica
2023-09-13,Napoli,Lavatrice,8,440.33,3522.64,Elettrodomestici
2023-09-13,Milano,Tablet,5,361.52,1807.6,Informatica
2023-09-14,Napoli,Cuffie,7,89.69,627.8299999999999,Accessori
2023-09-15,Torino,TV,11,662.22,7284.42,Elettrodomestici
2023-09-15,Napoli,Laptop,6,886.96,5321.76,Informatica
2023-09-15,Roma,Cuffie,3,88.0,264.0,Accessori
2023-09-16,Torino,Laptop,2,863.71,1727.42,Informatica
2023-09-16,Torino,Frigorifero,8,578.56,4628.48,Elettrodomestici
2023-09-18,Roma,Tablet,4,332.74,1330.96,Informatica
2023-09-18,Torino,Laptop,8,908.02,7264.16,Informatica
2023-09-20,Torino,Tablet,5,366.48,1832.4,Informatica
2023-09-20,Napoli,Tablet,4,357.15,1428.6,Informatica
2023-09-20,Roma,Tablet,12,341.06,4092.7200000000003,Informatica
2023-09-21,Bologna,Lavatrice,1,471.09,471.09,Elettrodomestici
2023-09-21,Milano,Smartphone,12,488.74,5864.88,Informatica
2023-09-22,Torino,Tablet,2,345.96,691.92,Informatica
2023-09-22,Napoli,Cuffie,9,89.55,805.9499999999999,Accessori
2023-09-22,Torino,Laptop,9,866.9,7802.099999999999,Informatica
2023-09-22,Napoli,Frigorifero,11,608.87,6697.57,Elettrodomestici
2023-09-23,Milano,Laptop,2,936.48,1872.96,Informatica
2023-09-24,Bologna,Cuffie,10,89.08,890.8,Accessori
2023-09-24,Torino,Tablet,2,366.55,733.1,Informatica
2023-09-24,Milano,Frigorifero,11,629.04,6919.44,Elettrodomestici
2023-09-25,Roma,Frigorifero,5,593.93,2969.6499999999996,Elettrodomestici
2023-09-25,Bologna,Smartphone,10,491.2,4912.0,Informatica
2023-09-26,Milano,Lavatrice,3,458.91,1376.73,Elettrodomestici
2023-09-27,Milano,Lavatrice,9,461.95,4157.55,Elettrodomestici
2023-09-28,Milano,Laptop,4,872.11,3488.44,Informatica
2023-09-28,Milano,Frigorifero,12,576.86,6922.32,Elettrodomestici
2023-09-28,Napoli,Tablet,5,360.74,1803.7,Informatica
2023-09-28,Bologna,Cuffie,4,93.85,375.4,Accessori
2023-09-28,Roma,Lavatrice,2,444.6,889.2,Elettrodomestici
2023-09-28,Napoli,Smartphone,9,486.89,4382.01,Informatica
2023-09-29,Bologna,Smartphone,10,496.09,4960.9,Informatica
2023-09-29,Bologna,Lavatrice,5,462.08,2310.4,Elettrodomestici
2023-09-30,Roma,Laptop,7,898.7,6290.900000000001,Informatica
2023-09-30,Bologna,Frigorifero,6,582.75,3496.5,Elettrodomestici
2023-09-30,Bologna,Tablet,8,341.0,2728.0,Informatica
